segment_id,profile_id,in_train,label_kmeans,label_gmm,label_hdbscan,label_kmedoids_dtw
48_238,48,True,1,1,2,1
48_239,48,True,1,1,-1,1
48_240,48,True,1,1,-1,1
48_241,48,True,1,1,2,1
48_242,48,True,1,1,-1,1
48_243,48,True,1,1,-1,1
48_244,48,True,1,1,2,1
48_245,48,True,1,1,-1,1
48_246,48,True,1,1,-1,1
48_247,48,True,1,1,-1,0
48_248,48,True,1,1,-1,0
48_249,48,True,1,1,-1,1
48_250,48,True,1,1,-1,1
48_251,48,True,1,1,-1,0
48_252,48,True,1,1,2,1
48_253,48,True,1,1,-1,0
48_254,48,True,1,1,1,0
48_255,48,True,1,1,-1,0
48_256,48,True,1,1,1,0
48_257,48,True,1,1,-1,1
48_258,48,True,1,1,2,1
48_259,48,True,1,1,2,1
48_260,48,True,1,1,-1,1
48_261,48,True,1,1,2,1
48_262,48,True,1,1,2,1
48_263,48,True,1,1,2,1
48_264,48,True,1,1,2,1
48_265,48,True,1,1,2,1
48_266,48,True,1,1,2,1
48_267,48,True,1,1,2,0
48_268,48,True,1,1,2,0
48_269,48,True,1,1,2,0
48_270,48,True,1,1,2,0
48_271,48,True,1,2,-1,0
48_272,48,True,1,2,2,0
48_273,48,True,1,1,2,0
48_274,48,True,1,1,2,0
48_275,48,True,1,1,2,0
48_276,48,True,1,2,-1,0
48_277,48,True,1,2,-1,0
48_278,48,True,1,1,-1,0
48_279,48,True,1,1,2,0
48_280,48,True,1,0,2,1
49_281,49,True,1,1,-1,1
49_282,49,True,1,1,-1,1
49_283,49,True,1,1,1,0
49_284,49,True,1,1,2,1
49_285,49,True,1,1,-1,1
49_286,49,True,1,1,2,1
49_287,49,True,1,1,-1,1
49_288,49,True,1,1,-1,1
49_289,49,True,1,1,-1,1
49_290,49,True,1,1,2,1
49_291,49,True,1,1,-1,1
49_292,49,True,1,1,2,1
49_293,49,True,1,1,-1,1
49_294,49,True,1,1,2,1
49_295,49,True,1,1,-1,1
49_296,49,True,1,1,2,1
49_297,49,True,1,1,2,0
49_298,49,True,1,1,2,0
49_299,49,True,1,1,2,0
49_300,49,True,1,2,2,0
49_301,49,True,1,0,2,0
49_302,49,True,1,0,2,0
50_303,50,True,1,1,-1,1
50_304,50,True,1,1,-1,1
50_305,50,True,1,1,1,0
50_306,50,True,1,1,2,1
50_307,50,True,1,1,-1,1
50_308,50,True,1,1,2,1
50_309,50,True,1,1,-1,1
50_310,50,True,1,1,-1,1
50_311,50,True,1,1,-1,1
50_312,50,True,1,1,2,1
50_313,50,True,1,1,-1,1
50_314,50,True,1,1,2,1
50_315,50,True,1,1,-1,1
50_316,50,True,1,1,2,1
50_317,50,True,1,1,-1,1
50_318,50,True,1,1,2,1
50_319,50,True,1,1,2,0
50_320,50,True,1,1,2,0
50_321,50,True,1,1,2,0
50_322,50,True,1,2,-1,0
50_323,50,True,1,0,2,0
50_324,50,True,1,2,2,0
50_325,50,True,1,0,2,0
51_326,51,True,0,2,0,1
51_327,51,True,1,1,-1,1
51_328,51,True,0,2,-1,1
51_329,51,True,0,1,2,1
51_330,51,True,0,2,-1,0
51_331,51,True,1,2,-1,0
51_332,51,True,0,2,-1,1
51_333,51,True,0,2,0,0
51_334,51,True,0,2,-1,1
51_335,51,True,0,2,-1,0
51_336,51,True,1,1,-1,1
51_337,51,True,0,2,-1,1
52_338,52,True,0,2,-1,0
52_339,52,True,0,2,-1,0
52_340,52,True,0,2,-1,0
52_341,52,True,0,2,-1,1
52_342,52,True,0,2,0,1
52_343,52,True,0,2,-1,0
52_344,52,True,0,2,0,0
52_345,52,True,0,2,-1,1
53_346,53,True,0,2,-1,0
53_347,53,True,0,2,-1,0
53_348,53,True,0,2,-1,1
53_349,53,True,0,2,-1,1
53_350,53,True,0,2,-1,0
53_351,53,True,0,2,0,0
53_352,53,True,0,2,0,1
53_353,53,True,0,2,-1,0
53_354,53,True,0,1,-1,1
53_355,53,True,0,2,0,1
53_356,53,True,0,2,0,1
53_357,53,True,0,2,-1,0
